series_id,dcm_dir_name,series_files,dim1,dim2,dim3,dim4,TR,TE,series_description,image_type
9-SpinEchoFieldMap_AP,9-SpinEchoFieldMap_AP,3,104,104,72,3,8,66,SpinEchoFieldMap_AP,"('ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC')"
11-SpinEchoFieldMap_PA,11-SpinEchoFieldMap_PA,3,104,104,72,3,8,66,SpinEchoFieldMap_PA,"('ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC')"
13-T1w_MPR,13-T1w_MPR,208,320,300,208,1,2.4,2.22,T1w_MPR,"('ORIGINAL', 'PRIMARY', 'M', 'ND')"
14-T1w_MPR,14-T1w_MPR,208,320,300,208,1,2.4,2.22,T1w_MPR,"('ORIGINAL', 'PRIMARY', 'M', 'ND', 'NORM')"
15-T2w_SPC,15-T2w_SPC,208,320,300,208,1,3.2,563,T2w_SPC,"('ORIGINAL', 'PRIMARY', 'M', 'ND')"
16-T2w_SPC,16-T2w_SPC,208,320,300,208,1,3.2,563,T2w_SPC,"('ORIGINAL', 'PRIMARY', 'M', 'ND', 'NORM')"
17-dMRI_dir98_AP,17-dMRI_dir98_AP_SBRef,1,140,140,92,1,3.23,89.2,dMRI_dir98_AP_SBRef,"('ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC')"
18-dMRI_dir98_AP,18-dMRI_dir98_AP,99,140,140,92,99,3.23,89.2,dMRI_dir98_AP,"('ORIGINAL', 'PRIMARY', 'DIFFUSION', 'NONE', 'MB', 'ND', 'MOSAIC')"
20-dMRI_dir98_PA,20-dMRI_dir98_PA_SBRef,1,140,140,92,1,3.23,89.2,dMRI_dir98_PA_SBRef,"('ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC')"
21-dMRI_dir98_PA,21-dMRI_dir98_PA,99,140,140,92,99,3.23,89.2,dMRI_dir98_PA,"('ORIGINAL', 'PRIMARY', 'DIFFUSION', 'NONE', 'MB', 'ND', 'MOSAIC')"
23-rfMRI_REST01_AP,23-rfMRI_REST01_AP_SBRef,1,104,104,72,1,0.8,37,rfMRI_REST01_AP_SBRef,"('ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC')"
24-rfMRI_REST01_AP,24-rfMRI_REST01_AP,420,104,104,72,420,0.8,37,rfMRI_REST01_AP,"('ORIGINAL', 'PRIMARY', 'M', 'MB', 'ND', 'MOSAIC')"
26-rfMRI_REST01_PA,26-rfMRI_REST01_PA_SBRef,1,104,104,72,1,0.8,37,rfMRI_REST01_PA_SBRef,"('ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC')"
27-rfMRI_REST01_PA,27-rfMRI_REST01_PA,420,104,104,72,420,0.8,37,rfMRI_REST01_PA,"('ORIGINAL', 'PRIMARY', 'M', 'MB', 'ND', 'MOSAIC')"
29-tfMRI_Emotion_AP,29-tfMRI_EMOTION_AP_SBRef,1,104,104,72,1,0.8,37,tfMRI_Emotion_AP_SBRef,"('ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC')"
30-tfMRI_Emotion_AP,30-tfMRI_EMOTION_AP,176,104,104,72,176,0.8,37,tfMRI_Emotion_AP,"('ORIGINAL', 'PRIMARY', 'M', 'MB', 'ND', 'MOSAIC')"
